City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
eyl,86,SO,1584399079,78,7.98,49.82,79.41,15.77
vaini,75,TO,1584398911,79,-21.2,-175.2,86.0,18.34
iqaluit,90,CA,1584399079,77,63.75,-68.51,5.0,12.75
rikitea,56,PF,1584399079,79,-23.12,-134.97,81.07,12.33
babakan,61,ID,1584399079,77,-7.28,107.22,81.72,4.16
paamiut,2,GL,1584399079,54,61.99,-49.67,-3.1,8.61
chuy,0,UY,1584398922,70,-33.7,-53.46,64.65,8.72
nikolskoye,42,RU,1584399080,88,59.7,30.79,32.0,6.71
new norfolk,93,AU,1584399080,67,-42.78,147.06,60.01,10.29
busselton,6,AU,1584399080,69,-33.65,115.33,64.0,17.65
albany,1,US,1584399080,29,42.6,-73.97,44.6,9.17
thompson,90,CA,1584399080,66,55.74,-97.86,14.0,10.29
turukhansk,0,RU,1584399081,95,65.82,87.98,-23.17,2.48
yellowknife,75,CA,1584399081,48,62.46,-114.35,-4.0,8.05
inuvik,75,CA,1584398592,79,68.35,-133.72,26.6,14.99
davila,75,PH,1584399081,83,18.47,120.58,69.8,3.36
velyka pysarivka,97,UA,1584399081,55,50.43,35.48,32.16,6.64
mollendo,100,PE,1584399081,91,-17.02,-72.01,67.87,5.93
botwood,20,CA,1584399082,26,49.15,-55.35,19.4,2.24
tecoanapa,1,MX,1584399082,59,16.52,-98.75,84.67,8.3
qaanaaq,44,GL,1584399082,46,77.48,-69.36,-5.17,7.14
nata,20,PA,1584399082,41,8.33,-80.52,91.4,14.99
ribeira grande,38,PT,1584399082,87,38.52,-28.7,58.32,12.12
tanabe,42,JP,1584399082,72,33.73,135.37,39.0,5.53
meulaboh,77,ID,1584399083,79,4.14,96.13,80.55,5.75
hermanus,36,ZA,1584399083,71,-34.42,19.23,66.0,15.01
mallaig,4,CA,1584399083,92,54.22,-111.37,21.87,6.96
hasaki,20,JP,1584399083,80,35.73,140.83,41.0,1.12
lagoa,0,PT,1584399083,81,39.05,-27.98,62.11,9.22
sur,0,OM,1584398983,71,22.57,59.53,65.16,4.94
el viejo,40,NI,1584399083,52,12.66,-87.17,91.4,4.7
krosno,56,PL,1584399084,56,49.69,21.77,43.0,11.41
